rue_1,rue_2,int_no,borough,acc,pi,acc_rate,ln_acc_rate,all_pedest,fi,fli,fri,fti,cli,cri,cti,ln_pi,ln_fi,ln_fli,ln_fri,ln_fti,ln_cli,ln_cri,ln_cti,tot_crossw,number_of_,avg_crossw,tot_road_w,median,green_stra,half_phase,any_ped_pr,ped_countd,lt_protect,lt_restric,lt_prot_re,parking,north_veh,north_ped,east_veh,east_ped,south_veh,south_ped,west_veh,west_ped,total_lane,of_exclusi,any_exclus,commercial,curb_exten,all_red_an,new_half_r,distdt,ln_distdt,traffic_10000,ped_100
17 e Avenue,Crémazie inter. Nord,1355,Villeray-Saint-Michel-Parc-Extension,1,388.976379394531,0.002570850192900068,0.16768623754693657,False,16800.109375,1203.900390625,1184.08312988281,14412.125,131655.265625,101933.234375,2834692.75,5.96351909637451,9.72914123535156,7.09332180023193,7.0767240524292,9.57582473754883,11.7879419326782,11.5320730209351,14.8574438095093,42.5,3,14.1999998092651,44.0,False,False,False,False,False,False,True,True,0.0,2269.07983398438,71.06298828125,12579.025390625,97.2440948486328,1952.00317382812,119.685035705566,0.0,100.984245300293,4,0,False,0,True,False,False,7629.10693359375,8.93972587585449,1.68001091480255,3.88976383209229
Saint-Jacques,Square Victoria Est,392,Ville-Marie,0,19392.15234375,0.0,0.0,True,13308.4609375,4219.22412109375,3297.5751953125,5791.662109375,18831804.0,4487303.0,53033116.0,9.87262439727783,9.49615478515625,8.3474063873291,8.10094261169434,8.66417503356934,16.7510585784912,15.31676197052,17.7864265441895,56.7000007629395,4,14.1999998092651,57.2999992370605,False,False,True,True,True,False,False,False,0.5,0.0,2022.615234375,5711.6767578125,5166.5341796875,4453.72607421875,962.0556640625,3143.05834960938,11240.947265625,3,0,False,0,True,True,False,839.242004394531,6.73249912261963,1.33084607124329,193.921524047852
Côte-Sainte-Catherine,Darlington,153,C¶te-des-Neiges-Notre-Dame-de-Graces,0,2627.85229492188,0.0,0.0,False,21775.591796875,2085.47094726562,2546.841796875,17143.27734375,1132862.875,2342241.5,25082312.0,7.8739218711853,9.98854541778564,7.64274978637695,7.84260892868042,9.74936103820801,13.940258026123,14.6666193008423,17.0376739501953,66.0999984741211,4,16.5,53.7999992370605,False,True,True,True,False,False,True,True,1.0,4420.23095703125,635.867919921875,7854.4677734375,524.365051269531,212.081787109375,528.885437011719,9288.810546875,938.733947753906,4,1,True,0,False,False,True,3945.40209960938,8.28030586242676,2.17755913734436,26.2785224914551
Van Horne,Westbury,192,C¶te-des-Neiges-Notre-Dame-de-Graces,0,1811.83410644531,0.0,0.0,False,17391.03515625,1568.24621582031,1488.60131835938,14334.1875,692515.8125,540899.4375,9132722.0,7.50209522247314,9.76371002197266,7.35771322250366,7.30559206008911,9.57040309906006,13.4480857849121,13.2009887695312,16.0273742675781,62.9000015258789,4,15.6999998092651,48.7000007629395,False,True,False,True,False,False,False,False,1.0,1503.77172851562,855.681335449219,5503.083984375,214.338958740234,2429.169921875,423.654357910156,7955.009765625,318.159393310547,3,0,False,0,False,False,False,5552.60498046875,8.62202262878418,1.73910355567932,18.1183414459229
Cléroux,O'Brien,13090,Saint-Laurent,1,316.812225341797,0.0031564438491006367,0.1736620866834034,False,14273.833984375,1305.30456542969,1365.40490722656,11603.125,80149.859375,111084.9921875,2109116.0,5.75830888748169,9.56618309020996,7.17419195175171,7.21920585632324,9.35902976989746,11.2916526794434,11.6180505752563,14.5617790222168,67.9000015258789,4,17.0,52.7000007629395,False,False,False,False,True,False,False,False,0.5,7011.08203125,53.3097457885742,653.591369628906,85.2955932617188,4714.12158203125,134.035934448242,1895.03930664062,44.1709327697754,4,0,False,0,False,False,False,9977.19921875,9.20805740356445,1.42738342285156,3.16812229156494
Henri-Bourassa Est,Louis-Hippolyte-La Fontaine,1751,Pointe-aux-Trembles-RiviÞres-des-Prairies,0,48.6220474243164,0.0,0.0,False,93279.9921875,16547.4375,24068.099609375,52664.453125,186096.25,168066.625,1059579.375,3.88407707214355,11.4433612823486,9.71398735046387,10.0886430740356,10.871696472168,12.1340188980103,12.0321159362793,13.8733825683594,125.099998474121,4,31.2999992370605,118.099998474121,True,True,False,True,True,True,True,True,0.0,14352.6728515625,44.8818893432617,29829.9765625,0.0,22393.5390625,0.0,26703.798828125,3.74015688896179,8,3,True,1,False,False,False,12798.392578125,9.45707511901855,9.32799911499023,0.486220479011536
Sainte-Marguerite,Saint-Jacques,255,Sud-Ouest,0,2029.47241210938,0.0,0.0,False,12159.0908203125,676.974182128906,1978.03393554688,9504.0830078125,364450.6875,965818.875,4857403.0,7.6155309677124,9.40583229064941,6.51763296127319,7.58985900878906,9.15947723388672,12.8061466217041,13.7807321548462,15.3960151672363,63.7000007629395,4,15.8999996185303,53.0,False,False,False,False,False,False,True,True,0.0,0.0,538.352416992188,0.0,135.556365966797,2491.05346679688,1150.29260253906,9668.037109375,205.271072387695,2,0,False,2,False,False,False,3159.72998046875,8.05824184417725,1.21590912342072,20.2947235107422
Bourgoin,Côte-Vertu,11839,Saint-Laurent,0,1527.58264160156,0.0,0.0,True,34060.79296875,494.974517822266,785.796081542969,32780.0234375,80101.734375,752175.5625,44601604.0,7.33144187927246,10.4359016418457,6.20450592041016,6.66669702529907,10.397575378418,11.2910528182983,13.5307245254517,17.6132793426514,75.0,3,25.0,65.0,True,False,False,True,True,True,True,True,0.0,762.684448242188,166.948913574219,15057.240234375,153.593002319336,0.0,0.0,18240.869140625,1207.04064941406,7,1,True,1,False,False,False,9673.4736328125,9.17714309692383,3.40607929229736,15.2758264541626
Saint-Antoine,Saint-François-Xavier,1589,Ville-Marie,0,7970.248046875,0.0,0.0,False,11172.06640625,0.0,1390.587890625,9781.478515625,0.0,7006673.5,59462868.0,8.98347091674805,9.32117176055908,0.0,7.23748207092285,9.18824577331543,0.0,15.7623739242554,17.9008636474609,35.0999984741211,3,11.6999998092651,35.0,False,False,True,True,True,False,True,True,0.0,0.0,1587.72106933594,0.0,5038.64111328125,1390.587890625,303.398040771484,9781.478515625,1040.48779296875,2,0,False,2,False,False,True,977.879028320312,6.88538599014282,1.11720669269562,79.7024841308594
McGill,Saint-Maurice,393,Ville-Marie,0,8950.1162109375,0.0,0.0,False,11151.31640625,1125.87243652344,1285.0673828125,8740.3759765625,2408024.0,6388463.5,16441071.0,9.09942245483398,9.31931304931641,7.02631378173828,7.15856599807739,9.07570934295654,14.6943168640137,15.6700038909912,16.6152935028076,39.7000007629395,3,13.1999998092651,61.7000007629395,False,False,True,True,True,False,True,True,0.0,4756.66748046875,818.391784667969,0.0,0.0,5057.794921875,1062.65661621094,1336.85363769531,7069.06787109375,2,0,False,1,True,False,True,1003.60900878906,6.91135787963867,1.11513161659241,89.5011596679688
